                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.06404,                0.98246,                      1,                0.58093,             0.00063742,             0.00063742,             0.00063742
                     67,                0.04951,                0.98246,                      1,                0.57361,             0.00063625,             0.00063625,             0.00063625
                     68,                0.05488,                0.98246,                      1,                0.57446,             0.00063507,             0.00063507,             0.00063507
                     69,                0.06327,                0.97368,                      1,                0.58752,             0.00063389,             0.00063389,             0.00063389
                     70,                0.06512,                0.94737,                      1,                0.58936,             0.00063271,             0.00063271,             0.00063271
                     71,                0.05782,                 0.9386,                      1,                0.59766,             0.00063153,             0.00063153,             0.00063153
                     72,                0.06443,                0.96491,                      1,                 0.5968,             0.00063035,             0.00063035,             0.00063035
                     73,                0.05052,                0.95614,                      1,                0.59265,             0.00062918,             0.00062918,             0.00062918
                     74,                0.03109,                0.95614,                      1,                0.59778,               0.000628,               0.000628,               0.000628
                     75,                0.04408,                0.96491,                      1,                0.57727,             0.00062682,             0.00062682,             0.00062682
                     76,                0.05321,                0.98246,                      1,                0.58936,             0.00062564,             0.00062564,             0.00062564
                     77,                0.05024,                0.95614,                      1,                0.59863,             0.00062446,             0.00062446,             0.00062446
                     78,                 0.0369,                0.92982,                      1,                0.61658,             0.00062329,             0.00062329,             0.00062329
                     79,                0.04537,                 0.9386,                      1,                0.60986,             0.00062211,             0.00062211,             0.00062211
                     80,                0.05763,                 0.9386,                      1,                0.59497,             0.00062093,             0.00062093,             0.00062093
                     81,                0.04392,                0.92982,                      1,                  0.625,             0.00061975,             0.00061975,             0.00061975
                     82,                 0.0569,                0.91228,                      1,                0.61438,             0.00061857,             0.00061857,             0.00061857
                     83,                0.06234,                 0.9386,                      1,                0.61694,              0.0006174,              0.0006174,              0.0006174
                     84,                0.04825,                0.94737,                      1,                0.59705,             0.00061622,             0.00061622,             0.00061622
                     85,                 0.0506,                0.92982,                      1,                0.62463,             0.00061504,             0.00061504,             0.00061504
                     86,                0.06619,                 0.9386,                      1,                0.60229,             0.00061386,             0.00061386,             0.00061386
                     87,                0.03959,                0.95614,                      1,                0.60059,             0.00061268,             0.00061268,             0.00061268
                     88,                 0.0455,                0.95614,                      1,                0.59961,             0.00061151,             0.00061151,             0.00061151
                     89,                0.04297,                0.95614,                      1,                0.60278,             0.00061033,             0.00061033,             0.00061033
                     90,                0.03272,                0.95614,                      1,                0.59631,             0.00060915,             0.00060915,             0.00060915
                     91,                0.02669,                0.94737,                      1,                0.60486,             0.00060797,             0.00060797,             0.00060797
                     92,                0.04568,                0.94737,                      1,                0.59802,             0.00060679,             0.00060679,             0.00060679
                     93,                0.05904,                0.98246,                      1,                0.57886,             0.00060561,             0.00060561,             0.00060561
                     94,                0.06382,                0.96491,                      1,                0.57996,             0.00060444,             0.00060444,             0.00060444
                     95,                0.08095,                0.96491,                      1,                0.58167,             0.00060326,             0.00060326,             0.00060326
                     96,                0.04746,                0.94737,                      1,                0.60522,             0.00060208,             0.00060208,             0.00060208
