                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.01196,                0.95614,                      1,                0.60425,              0.0094473,              0.0094473,              0.0094473
                     69,                0.01121,                0.96491,                      1,                0.58997,               0.009439,               0.009439,               0.009439
                     70,                0.01445,                 0.9386,                      1,                  0.599,              0.0094307,              0.0094307,              0.0094307
                     71,                0.02946,                0.95614,                      1,                0.60352,              0.0094225,              0.0094225,              0.0094225
                     72,                0.02177,                0.96491,                      1,                0.59888,              0.0094142,              0.0094142,              0.0094142
                     73,                0.01197,                0.96491,                      1,                0.59216,               0.009406,               0.009406,               0.009406
                     74,                0.02624,                0.94737,                      1,                0.60181,              0.0093977,              0.0093977,              0.0093977
                     75,                0.01767,                0.98246,                      1,                0.57007,              0.0093895,              0.0093895,              0.0093895
                     76,                0.01932,                0.98246,                      1,                0.56873,              0.0093813,              0.0093813,              0.0093813
                     77,                0.00952,                0.97368,                      1,                0.57593,               0.009373,               0.009373,               0.009373
                     78,                0.02001,                0.99123,                      1,                 0.5719,              0.0093647,              0.0093647,              0.0093647
                     79,                0.02968,                0.95614,                      1,                0.58936,              0.0093565,              0.0093565,              0.0093565
                     80,                0.00856,                0.95614,                      1,                0.59424,              0.0093483,              0.0093483,              0.0093483
                     81,                0.01738,                0.94737,                      1,                0.59241,                0.00934,                0.00934,                0.00934
                     82,                0.02375,                0.96491,                      1,                 0.5896,              0.0093317,              0.0093317,              0.0093317
                     83,                0.00914,                0.95614,                      1,                0.59302,              0.0093235,              0.0093235,              0.0093235
                     84,                0.02615,                0.94737,                      1,                0.58679,              0.0093152,              0.0093152,              0.0093152
                     85,                0.01207,                0.94737,                      1,                0.59888,               0.009307,               0.009307,               0.009307
                     86,                0.01044,                0.96491,                      1,                0.58923,              0.0092987,              0.0092987,              0.0092987
                     87,                0.02551,                0.95614,                      1,                0.59827,              0.0092905,              0.0092905,              0.0092905
                     88,                0.02626,                0.94737,                      1,                0.59155,              0.0092823,              0.0092823,              0.0092823
                     89,                 0.0182,                0.95614,                      1,                0.60071,               0.009274,               0.009274,               0.009274
                     90,                0.01122,                0.94737,                      1,                0.59106,              0.0092657,              0.0092657,              0.0092657
                     91,                 0.0083,                0.96491,                      1,                0.58557,              0.0092575,              0.0092575,              0.0092575
                     92,                0.01491,                0.95614,                      1,                 0.5874,              0.0092493,              0.0092493,              0.0092493
                     93,                0.01488,                0.96491,                      1,                 0.5874,               0.009241,               0.009241,               0.009241
